module,revisions,code
.github\BOTMETA.yml,122,151
lib\ansible\config\base.yml,70,1975
lib\ansible\module_utils\basic.py,56,1596
lib\ansible\executor\task_executor.py,49,846
lib\ansible\cli\doc.py,44,964
lib\ansible\cli\galaxy.py,44,1234
lib\ansible\template\__init__.py,42,730
lib\ansible\plugins\action\__init__.py,39,847
lib\ansible\plugins\strategy\__init__.py,39,994
lib\ansible\config\ansible_builtin_runtime.yml,39,9715
test\lib\ansible_test\_internal\executor.py,36,73
lib\ansible\modules\dnf.py,31,1097
lib\ansible\plugins\connection\ssh.py,30,999
.azure-pipelines\azure-pipelines.yml,29,213
test\lib\ansible_test\_internal\util.py,29,526
lib\ansible\modules\hostname.py,28,620
lib\ansible\modules\user.py,28,2507
test\lib\ansible_test\_internal\config.py,26,221
lib\ansible\modules\apt.py,24,1079
lib\ansible\modules\yum.py,24,1327
test\lib\ansible_test\_internal\delegation.py,23,256
lib\ansible\plugins\loader.py,22,885
lib\ansible\modules\uri.py,22,670
test\lib\ansible_test\_internal\util_common.py,21,290
lib\ansible\modules\unarchive.py,21,831
lib\ansible\plugins\filter\core.py,21,454
lib\ansible\executor\module_common.py,21,804
lib\ansible\modules\get_url.py,21,559
test\lib\ansible_test\_internal\core_ci.py,20,358
lib\ansible\modules\systemd.py,20,455
test\lib\ansible_test\_internal\ansible_util.py,20,199
Makefile,19,103
lib\ansible\module_utils\facts\system\distribution.py,19,532
lib\ansible\utils\collection_loader\_collection_finder.py,19,690
test\integration\targets\ansible-galaxy-collection\tasks\install.yml,19,449
lib\ansible\modules\git.py,18,864
lib\ansible\config\manager.py,18,435
test\integration\targets\collections\runme.sh,18,76
lib\ansible\cli\__init__.py,17,423
lib\ansible\modules\copy.py,17,686
lib\ansible\galaxy\collection\__init__.py,17,1006
test\sanity\code-smell\package-data.py,17,248
lib\ansible\module_utils\urls.py,16,1218
lib\ansible\vars\manager.py,16,501
test\integration\targets\filter_core\tasks\main.yml,16,569
lib\ansible\modules\find.py,16,446
test\lib\ansible_test\_internal\docker_util.py,16,294
lib\ansible\modules\iptables.py,16,812
lib\ansible\playbook\task.py,16,342
docs\docsite\sphinx_conf\core_conf.py,16,107
lib\ansible\plugins\callback\default.py,15,313
lib\ansible\plugins\connection\winrm.py,15,467
lib\ansible\utils\display.py,15,361
lib\ansible\modules\apt_key.py,15,383
lib\ansible\galaxy\api.py,15,595
lib\ansible\constants.py,15,147
lib\ansible\modules\service.py,15,1161
lib\ansible\modules\cron.py,15,590
lib\ansible\plugins\connection\psrp.py,14,438
test\integration\targets\ansible-galaxy-collection\tasks\main.yml,14,163
test\integration\targets\ansible-galaxy\runme.sh,14,258
lib\ansible\executor\task_queue_manager.py,14,297
lib\ansible\cli\arguments\option_helpers.py,14,259
lib\ansible\modules\command.py,13,331
docs\docsite\Makefile,13,155
lib\ansible\module_utils\common\parameters.py,13,547
lib\ansible\playbook\role\__init__.py,13,445
lib\ansible\modules\service_facts.py,13,314
lib\ansible\plugins\strategy\linear.py,13,323
docs\docsite\sphinx_conf\ansible_conf.py,13,90
lib\ansible\modules\file.py,13,749
lib\ansible\playbook\conditional.py,12,136
setup.py,12,26
lib\ansible\modules\lineinfile.py,12,499
lib\ansible\module_utils\facts\virtual\linux.py,12,312
lib\ansible\modules\known_hosts.py,12,266
lib\ansible\modules\blockinfile.py,12,313
lib\ansible\modules\async_status.py,12,133
lib\ansible\plugins\inventory\__init__.py,12,324
test\integration\targets\delegate_to\runme.sh,12,51
lib\ansible\executor\play_iterator.py,12,430
test\units\galaxy\test_collection_install.py,12,716
lib\ansible\template\native_helpers.py,12,86
lib\ansible\modules\package_facts.py,12,448
test\integration\targets\argspec\tasks\main.yml,12,372
test\integration\targets\unarchive\tasks\main.yml,11,21
test\integration\targets\argspec\library\argspec.py,11,156
lib\ansible\parsing\vault\__init__.py,11,716
test\units\galaxy\test_collection.py,11,749
lib\ansible\plugins\connection\paramiko_ssh.py,11,325
test\integration\targets\include_import\runme.sh,11,76
lib\ansible\release.py,11,5
lib\ansible\modules\apt_repository.py,11,507
lib\ansible\executor\powershell\module_manifest.py,11,276
test\integration\targets\user\tasks\main.yml,11,21
lib\ansible\plugins\cache\__init__.py,11,250
